route_id=1527114;vehicle_id=37677;time_start=2017-07-19 07:51:30;lon_start=24.0621763;lat_start=49.7942366;time_end=2017-07-19 07:52:27;lon_end=24.0567656;lat_end=49.7950291
route_id=712988;vehicle_id=38682;time_start=2017-07-19 07:51:55;lon_start=23.9795341491699;lat_start=49.8126182556152;time_end=2017-07-19 07:52:54;lon_end=23.9809894561768;lat_end=49.8123245239258
route_id=712988;vehicle_id=38687;time_start=2017-07-19 07:51:55;lon_start=24.0254707336426;lat_start=49.8145179748535;time_end=2017-07-19 07:52:54;lon_end=24.0263156890869;lat_end=49.8167915344238
route_id=712988;vehicle_id=38789;time_start=2017-07-19 07:51:55;lon_start=23.9767055511475;lat_start=49.8137016296387;time_end=2017-07-19 07:52:54;lon_end=23.9767055511475;lat_end=49.8137016296387
route_id=712988;vehicle_id=47976;time_start=2017-07-19 07:51:55;lon_start=24.0195045471191;lat_start=49.8125648498535;time_end=2017-07-19 07:52:54;lon_end=24.0189533233643;lat_end=49.8081893920898
route_id=712988;vehicle_id=53981;time_start=2017-07-19 07:51:55;lon_start=23.9906463623047;lat_start=49.8113632202148;time_end=2017-07-19 07:52:54;lon_end=23.9906463623047;lat_end=49.8113632202148
route_id=712988;vehicle_id=55690;time_start=2017-07-19 07:51:55;lon_start=23.9669303894043;lat_start=49.8435516357422;time_end=2017-07-19 07:52:54;lon_end=23.9678382873535;lat_end=49.8417015075684
route_id=712991;vehicle_id=64355;time_start=2017-07-19 07:51:59;lon_start=24.0653366;lat_start=49.7947116;time_end=2017-07-19 07:52:58;lon_end=24.0675283;lat_end=49.7950016
route_id=712991;vehicle_id=64358;time_start=2017-07-19 07:51:59;lon_start=23.9738266;lat_start=49.82241;time_end=2017-07-19 07:52:58;lon_end=23.974515;lat_end=49.8227216
route_id=712991;vehicle_id=64360;time_start=2017-07-19 07:51:59;lon_start=23.9944533;lat_start=49.8390683;time_end=2017-07-19 07:52:58;lon_end=23.9943566;lat_end=49.8386516
route_id=712991;vehicle_id=64361;time_start=2017-07-19 07:51:59;lon_start=23.9903383;lat_start=49.83449;time_end=2017-07-19 07:52:58;lon_end=23.991015;lat_end=49.83464
route_id=712991;vehicle_id=64364;time_start=2017-07-19 07:51:59;lon_start=24.0468833;lat_start=49.80016;time_end=2017-07-19 07:52:58;lon_end=24.04894;lat_end=49.7985266
route_id=712991;vehicle_id=64368;time_start=2017-07-19 07:51:59;lon_start=23.98323;lat_start=49.8273466;time_end=2017-07-19 07:52:58;lon_end=23.9810883;lat_end=49.8261966
route_id=712991;vehicle_id=64494;time_start=2017-07-19 07:51:59;lon_start=24.0353616;lat_start=49.8141016;time_end=2017-07-19 07:52:58;lon_end=24.028345;lat_end=49.8160833
route_id=712991;vehicle_id=64502;time_start=2017-07-19 07:51:59;lon_start=23.9990516;lat_start=49.83628;time_end=2017-07-19 07:52:58;lon_end=23.9949;lat_end=49.8355383
route_id=712991;vehicle_id=64505;time_start=2017-07-19 07:51:59;lon_start=24.0568883;lat_start=49.7949816;time_end=2017-07-19 07:52:58;lon_end=24.05393;lat_end=49.796335
route_id=712991;vehicle_id=64506;time_start=2017-07-19 07:51:59;lon_start=24.0142333;lat_start=49.8084916;time_end=2017-07-19 07:52:58;lon_end=24.0188283;lat_end=49.8080716
route_id=712991;vehicle_id=64507;time_start=2017-07-19 07:51:59;lon_start=24.0003883;lat_start=49.8105199;time_end=2017-07-19 07:52:58;lon_end=23.998955;lat_end=49.8105733
route_id=713002;vehicle_id=37158;time_start=2017-07-19 07:52:03;lon_start=23.9640766;lat_start=49.8228366;time_end=2017-07-19 07:53:02;lon_end=23.960795;lat_end=49.8232
route_id=713002;vehicle_id=37159;time_start=2017-07-19 07:52:03;lon_start=23.95609;lat_start=49.8235866;time_end=2017-07-19 07:53:02;lon_end=23.9578416;lat_end=49.823385
route_id=713002;vehicle_id=37160;time_start=2017-07-19 07:52:03;lon_start=24.0396783;lat_start=49.8135566;time_end=2017-07-19 07:53:02;lon_end=24.03567;lat_end=49.8139616
route_id=713002;vehicle_id=37161;time_start=2017-07-19 07:52:03;lon_start=23.9962333;lat_start=49.8042316;time_end=2017-07-19 07:53:02;lon_end=23.993445;lat_end=49.804525
route_id=713002;vehicle_id=37162;time_start=2017-07-19 07:52:03;lon_start=24.0730383;lat_start=49.8260266;time_end=2017-07-19 07:53:02;lon_end=24.0735533;lat_end=49.8258266
route_id=713002;vehicle_id=37166;time_start=2017-07-19 07:52:03;lon_start=24.075415;lat_start=49.82166;time_end=2017-07-19 07:53:02;lon_end=24.0751716;lat_end=49.822425
route_id=713002;vehicle_id=37167;time_start=2017-07-19 07:52:03;lon_start=24.0506583;lat_start=49.8113266;time_end=2017-07-19 07:53:02;lon_end=24.055105;lat_end=49.8107633
route_id=713002;vehicle_id=38023;time_start=2017-07-19 07:52:03;lon_start=23.9924433;lat_start=49.8042866;time_end=2017-07-19 07:53:02;lon_end=23.9939383;lat_end=49.8042283
route_id=949921;vehicle_id=38720;time_start=2017-07-19 07:52:19;lon_start=23.9513092041016;lat_start=49.8682861328125;time_end=2017-07-19 07:53:16;lon_end=23.9563465118408;lat_end=49.8664894104004
route_id=949921;vehicle_id=38726;time_start=2017-07-19 07:52:19;lon_start=24.0407981872559;lat_start=49.8120307922363;time_end=2017-07-19 07:53:16;lon_end=24.0407981872559;lat_end=49.8120307922363
route_id=949921;vehicle_id=38727;time_start=2017-07-19 07:52:19;lon_start=24.035285949707;lat_start=49.8332061767578;time_end=2017-07-19 07:53:16;lon_end=24.0343399047852;lat_end=49.8344306945801
route_id=1723724;vehicle_id=38752;time_start=2017-07-19 07:52:24;lon_start=24.0483699;lat_start=49.7988633;time_end=2017-07-19 07:53:21;lon_end=24.0498416;lat_end=49.7981216
route_id=1723724;vehicle_id=38970;time_start=2017-07-19 07:52:24;lon_start=24.0326066;lat_start=49.829555;time_end=2017-07-19 07:53:21;lon_end=24.033175;lat_end=49.8302366
route_id=1723724;vehicle_id=39108;time_start=2017-07-19 07:52:24;lon_start=24.0338566;lat_start=49.8271533;time_end=2017-07-19 07:53:21;lon_end=24.0335583;lat_end=49.8251733
route_id=1723724;vehicle_id=39109;time_start=2017-07-19 07:52:24;lon_start=24.0516433;lat_start=49.8649283;time_end=2017-07-19 07:53:21;lon_end=24.0531149;lat_end=49.8646383
route_id=1723724;vehicle_id=39111;time_start=2017-07-19 07:52:24;lon_start=24.0358133;lat_start=49.8420216;time_end=2017-07-19 07:53:21;lon_end=24.0352816;lat_end=49.84256
route_id=1723724;vehicle_id=39114;time_start=2017-07-19 07:52:24;lon_start=24.0225266;lat_start=49.8571516;time_end=2017-07-19 07:53:21;lon_end=24.023025;lat_end=49.8573766
route_id=1723724;vehicle_id=39116;time_start=2017-07-19 07:52:24;lon_start=24.0246116;lat_start=49.8497816;time_end=2017-07-19 07:53:21;lon_end=24.0250833;lat_end=49.84974
route_id=1723724;vehicle_id=39118;time_start=2017-07-19 07:52:24;lon_start=24.051205;lat_start=49.8650616;time_end=2017-07-19 07:53:21;lon_end=24.051205;lat_end=49.8650616
route_id=1527114;vehicle_id=37611;time_start=2017-07-19 07:52:27;lon_start=23.9404383;lat_start=49.9032966;time_end=2017-07-19 07:53:24;lon_end=23.94154;lat_end=49.9018533
route_id=1527114;vehicle_id=37677;time_start=2017-07-19 07:52:27;lon_start=24.0567656;lat_start=49.7950291;time_end=2017-07-19 07:53:24;lon_end=24.0538398;lat_end=49.7964128
route_id=712988;vehicle_id=38682;time_start=2017-07-19 07:52:54;lon_start=23.9809894561768;lat_start=49.8123245239258;time_end=2017-07-19 07:53:54;lon_end=23.9852409362793;lat_end=49.8118782043457
route_id=712988;vehicle_id=38687;time_start=2017-07-19 07:52:54;lon_start=24.0263156890869;lat_start=49.8167915344238;time_end=2017-07-19 07:53:54;lon_end=24.0294971466064;lat_end=49.8158264160156
route_id=712988;vehicle_id=38789;time_start=2017-07-19 07:52:54;lon_start=23.9767055511475;lat_start=49.8137016296387;time_end=2017-07-19 07:53:54;lon_end=23.9767055511475;lat_end=49.8137016296387
